Scheme Name,Ministries/Departments,Target Beneficiaries,Eligibility Criteria,Description & Benefits,Application Process,Tags
Distribution of Free House Sites to Scheduled Caste/Other Economically Backward Classes,adi dravidar welfare department puducherry,individual family, the applicant should be a citizen of india.  the applicant should be a native or a permanent resident of the union territory of pondicherry.  the annual family income should not exceed 24000.  the applicant should have attained the age of 18 years.  the applicant should be a homeless person.  no member of the family of the applicant should own a househouse site.  the applicant should have a bonafide intention to construct a house within 2 years.,through this scheme the homeless poor scheduled caste people and other economically backward class people who meet the eligibility criteria are provided housing sites to enable them to construct their own houses. approximately 11000 persons so far have benefitted from this scheme. distribution of free house sites to scheduled casteother economically backward classes., the interested applicant should visit during office hours the office suboffice of the adi dravidar welfare and scheduled tribes welfare department and request the hard copy of the prescribed format of the application form from the director adi dravidar welfare department thattanchavady puducherry 9.  in the application form fill in all the mandatory fields paste the passportsized photograph signed across if required and attach copies of all the mandatory documents selfattest if required.  submit the duly filled and signed application form along with the documents to the concerned authority.  request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. ensure that the receipt contains essential details such as the date and time of submission and a unique identification number if applicable.,"EBC, Economically Backward Class, House, Housing, SC, Scheduled Caste"
Grant of Mahatma Gandhi Memorial Award for Clean Houses,adi dravidar welfare department puducherry,family, the applicant should be a citizen of india.  the applicant should belong to the union territory of pondicherry by virtue of birth or continuous residence of not less than 3 years.  the applicant should be from scheduled caste.,grant of mahatma gandhi memorial award for clean houses was introduced by the adi dravidar welfare dept govt of puducherry. the objective of the scheme is to motivate the scheduled caste people to keep their houses neat and tidy. incentives are in the form of household articles worth 500. incentives worth 500 in the form of household articles., the interested applicant should visit during office hours the office suboffice of the adi dravidar welfare and scheduled tribes welfare department and request the hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filledin applications.  in the application form fill in all the mandatory fields paste the passportsized photograph signed across if required and attach copies of all the mandatory documents selfattest if required.  submit the duly filled and signed application form along with the documents to the concerned authority.  request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. ensure that the receipt contains essential details such as the date and time of submission and a unique identification number if applicable.,"Clean, Grant, House, Sanitation, Waste"
Financial Assistance for Marriage of Poor Scheduled Caste Brides,adi dravidar welfare department puducherry,individual, the parentguardian of the bride should be a citizen of india.  the parentguardian of the bride should be from a scheduled caste.  the parentguardian of the bride should be a native of puducherry.  the assistance is provided for the first marriage alone.  the marriage should be ed.  the assistance is available only for two daughters in a family.  the application should be submitted 30 days prior to the date of marriage.  the annual income of the parentguardian should not exceed 200000.  the applicant should not be receiving financial assistance from other sources.  the marriage should be performed in accordance with the law.  the bride should have attained the age of 18 years.  the bridegroom should have attained the age of 21 years.,the scheme financial assistance for marriage of poor scheduled caste brides was introduced by the adi dravidar welfare dept govt of puducherry. the objective of the scheme is to provide financial assistance to poor parents from scheduled castes for performing the marriage of their daughters. financial assistance of 15000 in each case for the marriage of their two daughters., visit the  of the edistrict portal of the government of puducherry.  at the top right corner of the home page click . in the  screen click  a new membership.  on the registration page fill in all the mandatory fields username password confirm password personal details full name first name email address address current address gender date of birth mobile number. agree to the declaration. fill in the  code and click signup.  visit the  of the edistrict portal of the government of puducherry.  at the top right corner of the home page click . in the  screen provide your username and password fill in the  code and click sign in.  on the next screen a list of schemes by the government of puducherry will be displayed departmentwise.  click on the scheme you wish to apply for. you will be taken to its online application form.  in the application form fill in all the mandatory fields marked with a red asterisk and upload all the mandatory documents selfattest if required.  tick the declaration stating i hereby declare that the abovementioned details are true and correct as per the best of my knowledge. submit the application and  the application number for tracking your application. the application number will also be received on your ed mobile number  ed email id. track your application here  access the user manual for online application here,"Bride, Financial Assistance, Marriage, SC, Scheduled Caste"
Mukhyamantri Vridhjan Pension Yojna,social welfare department,individual,1. the applicant should be a permanent resident of bihar. 1. the age of the applicant should be 60 years or above. 1. the applicant should not be a retired government employee in order to avail of the benefits of the scheme. 1. the applicant should not be receiving any pension from government service family pension or social security pension any other source for this purpose.,the scheme mukhyamantri vridhjan pension yojna is an oldage pension scheme implemented by the department of social welfare government of bihar to provide financial assistance to elderly citizens. under the scheme a monthly pension is given to individuals who are aged 60 years or above. 1. a monthly pension of 400 will be provided to individuals who are in the age group of 6079 years. 1. a monthly pension of 500 will be provided to the individuals whose age is 80 years and above.  the pension amount is transferred directly to the beneficiary bank account using the direct benefit transfer dbt method., to avail of the benefits of the scheme the eligible applicant may visit the state official portal social security pension management information system website sspmis  on the home page click on  for mvpy and after clicking a verification window page will open for the aadhaar verification of the applicant.  fill in all the mandatory details and click on validate aadhaar. after validation of aadhaar click on proceed to fill out the mvpy registration form.  the applicants have to fill in the details on the mvpy registration form like personal details bank account details address details etc.  upon filling and submitting the mvpy registration form the registration process will be completed.,"Financial Assistance, Old Age, Pension, Senior Citizen"
Scheme Of Coaching & Allied For Scheduled Castes,department of scheduled tribe scheduled caste minority and backward class welfare,individual university  institution, eligibility for the coaching institution  should be a ed private institutionsnongovernmental organizations ngo.  the institution should have the experience to run coaching for competitive examinations for at least three years.  the institution should have not been declared bankrupt at any point of time.  the institution should have not been blacklisted by any debarment or body of the government at any point of time.  the institution should have the capacity to manage the buildingspace to run coaching classes from its own resources at ranchi and dumka.  eligibility for the candidates  should belong to scheduled caste sc category.  should be a resident of jharkhand.  should have the eligible qualifications for the mentioned competitive exams.  the income ceiling of candidate income of self andor income of parents if dependent on them should not exceed 250000 per annum.,scheme of coaching  allied for scheduled castes aims to provide support for the betterment of scheduled caste sc candidates for coaching and pre examination training in quality coaching institutions to enable them to appear in competitive examinations.  the students will be given stipend of rs.1000 fixed per month for the entire period of coaching as mentioned above.  the financial assistance shall also be provided for boarding and lodging to the outstation students  rs.2000 per month per student. the concerned coaching institute shall make arrangements for outstation students and shall certify that the candidate is an outstation student.  the financial assistance in respect of various courses would be as follows s. no.name of competitive examperiod of coachingcoaching fees to institution per candidate in rs.1.civil services state civil services prelims5 months 220002.civil services state civil services mains4 months 150003.entrance exams for medical engg. mba and other6 months 150004.other exams conducted by u.p.s.c. like cds nida etc.staff selection commission exam jharkhand staff selection commission exam etc.3 months 100005.bsrbsrrbs gic etc.3 months 10000, for institute  take printout of all the forms and annexures from the scheme guideline and fill properly.  the application form and all annexures should be properly indexed by putting a page no. and index should be placed on the top of the application form.  a soft copy in a virus free fresh floppycd to be also submitted.  application in the prescribed format should be submitted to the below mentioned department as soon as the advertisement is published by the department in the national dailies department of scheduled tribe scheduled caste minority and backward class welfare project bhawan dhurwa ranchi  834004,"Coaching, Financial Grants, Scheduled Castes, Social Welfare, Stipend"
Pension to the Persons who lost 100% eye sight,directorate of social welfare  social education,individual,1. the applicant should be a resident of tripura. 1. the age of the applicant should be 10 years  above. 1. the applicant should be 100 visually handicapped. 1. the family income of the applicant should not exceed 100000. 1. no member of the family of the applicant should be a government employee.,pension to the persons who lost 100 eye sight was launched by the directorate of social welfare and social education government of tripura. the scheme aims to provide a monthly pension of 2000 to the differentlyabled persons who are 10 years and above in age and have 100 blindness. pension of 2000 per month., the applicant should visit the office of the child development project officer and request a hard copy of the prescribed format of the application form free of cost. or the interested applicant should take print of the prescribed format of the application form.  in the application form fill in all the mandatory fields signed across if required and attach copies of all the mandatory documents selfattest if required.  submit the duly filled and signed application form along with the documents to the cdpo office under which the project hisher residence is located.  request a receipt or acknowledgement from the concerned authority to whom the application has been submitted. ensure that the receipt contains essential details such as the date and time of submission and a unique identification number if applicable.,"Blind, Financial Assistance, Pension"
Mukhyamantri Samajik Sahayata Prakalpa - Vulnerable Women ,directorate of social welfare  social education,individual,1. the applicant should be a resident of tripura. 1. the annual income of the family of the applicant should not exceed 100000. 1. the age of the applicant should be between 18 to 59 years. 1. in the case of unmarried women the age should be 45 years or above. 1. if the family has children in the age group of 6 to 14 years those children must be enrolled in a school recognized by the government of tripura.  the assistance under this scheme will be stopped in the following cases 1. death of beneficiary. 2. fulfillment of any exclusion criteria during the lifetime of the beneficiary  remarriage of a widow.  a member of the family of the beneficiary getting a government job.  the annual family income of the beneficiary exceeding 100000.,the scheme mukhyamantri samajik sahayata prakalpa vulnerable women was launched by the directorate of social welfare and social education government of tripura to provide financial assistance to vulnerable woman in need of special care support or protection because of age disability.  pension amount 2000 per month. mode of disbursal the sanctioned grant will be transferred directly to the individual bank account of the applicant. the list of beneficiaries will be made available on the  of the social welfare  social education department govt. of tripura., the applicant should visit the office of the child development project officer and request a hard copy of the prescribed format of the application form free of cost. or the interested applicant should take print of the prescribed format of the application form.  in the application form fill in all the mandatory fields signed across if required and attach copies of all the mandatory documents selfattest if required.  submit the duly filled and signed application form along with the documents to the cdpo office under which the project hisher residence is located.  request a receipt or acknowledgement from the concerned authority to whom the application has been submitted. ensure that the receipt contains essential details such as the date and time of submission and a unique identification number if applicable.,"Divorced, Financial Assistance, Pension, Unmarried, Women"
Samagra Samajik Suraksha Vridhavastha Pension Yojana,department of social justice and empowerment of persons with disabilities,individual,1. the applicant should be a native of madhya pradesh. 1. the applicant age should be more than 60 years. 1. the name should be mentioned on the samagra portal.,initiative of the department of social justice and empowerment of persons with disabilities under the madhya pradesh started the scheme samagra samajik suraksha vridhavastha pension yojana for the older age people of the state.  pension amount 600 per month., applicants can apply for the scheme using the prescribed format and submitting the necessary documents either to the designated officers office the gram panchayat or a public service center.  upon submitting a complete application the applicant will receive a mandatory acknowledgment from the office.  the district panchayatgram panchayaturban bodyward office will scrutinize the documents submitted with the application.  if after investigation the documents are found to be incorrect according to the rules the application will be rejected with written explanation.  if after investigation the documents are found to be correct the pension case will be approved according to the rules.  once the pension is approved the beneficiarys name will be added to the pension proposal for the current month by the district panchayatgram panchayaturban bodyward office. the approved order will be maintained on record.  the directorate will deposit the monthly pension amount directly into the beneficiarys bank savings account through a single click starting from the same month the approval is granted.,"Empower, Financial Assistance, Old Age, Pension"
Nirman Shramik Siksha Kaushal Vikas Yojana,labour department,individual,1. the beneficiary must be a ed construction worker in the board. 1. only the sondaughterwife of the beneficiary will be eligible for the education assistance scholarship scheme. 1. a maximum of two children of the beneficiary or one child and wife will be eligible to receive the scholarship. however if both husband and wife are ed beneficiaries then a maximum of two children of the husband and wife will be eligible for the scholarship. however there will be no limit for meritorious students to receive cash awards. 1. the student must be studying regularly in a government or private school or college recognized by the centralstate government from class 6 to postgraduate level. 1. the student must be studying regularly in a government or recognized private iti and polytechnic course run in the state. 1. to receive the cash award meritorious students must have passed the class 8 to 12th examination with 75 marks or equivalent grade. must have obtainedpassed 60 or more marks or equivalent grade in diploma graduation and postgraduate level examination including medical engineering or other professional examination. 1. the age of the beneficiarys wife should not be more than 35 years for the eligibility of scholarship and she should be studying regularly in an educational institution. 1. scholarship will be payable only after passing the relevant examination for a year. 1. the student will be eligible for the scholarship only after getting admission in the next class after the opening of the educationaltraining institution after the summer vacation. however in case of passing the final examination of 12th class diploma graduation or postgraduate course it will not be necessary to take admission in the next class. 1. a beneficiary who does not deposit the contribution for a continuous period of one year will cease to be a beneficiary. therefore the sondaughterwife of such a construction worker who fails to deposit the contribution will not be eligible for the scholarship under the scheme. however the scholarship will be paid on restoration of the beneficiary under the proviso of the above section and rule.,the nirman shramik siksha kaushal vikas yojana nskkvy is a scheme launched by the government of rajasthan to provide financial assistance for education and skill development to the children of ed construction workers in the state.  the following scholarships will be provided to the male and female students after taking admission in the upcoming class  classstudentstudent  specially abledfrom class 6th to 8th 8000 per year 9000 per yearfrom class 9th to 12th 9000 per year 10000 per yeariti 9000 per year 10000 per yeardiploma 10000 per year 11000 per yeargraduation general 13000 per year 15000 per yeargraduate professional 18000 per year 20000 per yearpost graduate general15000 per year 17000 per yearpost graduate professional 23000 per year 25000 per year  beneficiary meritorious students will be given the following cash awards under the scheme classprize moneyclass 8th to 9th 4000class 11th 6000diploma 10000graduate 8000postgraduate 12000graduate professional 25000post graduate professional 35000, registration step1 applicant have to visit the official portal. step2 click on the option . step3 then you will be redirected to the sso registration page. the registration page will appear with the following options.  citizen step4 choose the either one option from the jan aadhaar or google to process further.  jan aadhaar  enter the jan aadhaar number click on the next button  select your name the name of the head of the family and all the other members and  click on the send otp button. enter the otp and  click on the verify otp button to complete the registration.  google  enter the gmail id click on the next button  enter the password.  a new link appear on screen now click on new sso link.  sso id will appear on screen now create the password.  enter mobile number click on registration.  apply step1 applicant have to visit the official portal. step2 after  dashboard will open. step3 click on ldms option. step4 in ldms select welfare schemes from the side menu and select bocw welfare board. step5 now click on apply for scheme on screen. step6 in this new page will get a list of names of all the schemes of rajasthan shramik card out of which click on the name of yojana step7 fill out the all relevant detail. step8 submit.,"Education, Financial, Scholarships, Student"
Financial Assistance For The Marriage Of Daughters Of Poor Widows And Orphan Girls,department of women and child development,individual,1. financial assistance can be granted for performing marriage up to two daughters only. 1. residence of a minimum of 5 years in delhi before the date of application. 1. the income of the applicant should be less than 100000per year from all sources including rent interestdividends on savings  investments earnings from the farm property sale proceeds etc. of the applicant. 1. applicant should have an aadhar number 1. the applicant should have a singleoperated aadhaarlinked account with any bank in the nct of delhi only. 1. the applicant should not be in receipt of any assistance from the discretionary fund of the lt. governor or the chief minister of delhi for the same purpose. 1. the girl whose marriage is to be solemnized should be major on the date of marriage i.e. above 18 years of age. 1. the application must be submitted within a period of sixty days before or after the date of the marriage being solemnized.,this is a welfare scheme by the gnctd to provide financial assistance to poor widows for performing the marriage of their daughters and to provide financial assistance to the guardians including homesinstitutions or foster parents of an orphan girl or an orphan girl for her marriage. the quantum of assistance is onetime 30000 up to two daughters only.,the application is to be made online on the edistrict portal delhi link   steps to  on the edistrict portal of gnctd   log on to  under citizen corner click on new user  click on select the document aadhar or voter id  enter your aadhar card numbervoter id card number  type the  in the box shown. the citizen registration form will open.  fill up all fields including details of the present residential address  enter  and click on continue.   id and password will be received on the given mobile numberemail address.  now registration on the edistrict portal is complete  steps to  for the scheme   click on ed user . enter the given  id and password. enter  and click on .  go to main page main page will open click on apply online. drop box applies for services will open click on the link.  a list of departments providing online services shall open select the department of women  child development.  three financial assistance schemes will be shown. choose the relevant scheme and click on apply.  check the basicpersonal details form and click on continue. the form will open fill up all required fields  upload all required documents as per the requirement of the scheme selected.  then click next and upload the photograph. then click on finish. one otp will be received on the ed mobile number. enter otp and submit.  acknowledgment of successful submission shall be generated.,"Financial Asisstance, Girl Child, Marriage, Orphan, Widow"
