Scheme Name,Ministries/Departments,Target Beneficiaries,Eligibility Criteria,Description & Benefits,Application Process,Tags
The West Bengal Incentive Scheme: Waiver of Electricity Duty,Tourism Department,"Business Entity, Individual","
- The 2021 Scheme shall be generally applicable to all eligible tourism projects/units/expansion projects of existing units set up on or after the effective date (i.e. 22nd February, 2021)  of this incentive scheme.

       Or,

- Eligible Hotel Units who started their commercial operation on or after 7th January, 2015 to 31st December, 2020 but could not apply under previous scheme 2015 due to absence of a Bar in the Hotel.
- The units may be in the private sector, co-operative sector, joint sector as also companies/undertakings owned or managed by the State Government.
- The project should be covered by a detailed feasibility report/project prepared for the purpose.
- The project should have been approved and sanctioned by a Central Financial Institution or Commercial Banks or State Financial Institutions.
- The unit should hold an Registration Certificate, Date of Commencement Certificate and Eligibility Certificate issued by the West Bengal Tourism Development Corporation Limited on satisfaction of arrangement.

","“Waiver of Electricity Duty” incentives under “The West Bengal Incentive Scheme” scheme implemented by the Dept. of Tourism, Government of West Bengal, aims to provide waiver of electricity duty on the electricity consumed in its approved project.

- An eligible unit will be entitled to waiver of electricity duty on the electricity consumed in its approved project for a period of 5 years from the date of commercial operation.

","&gt; **Registration Process:**

**Step 1:** Visit the official [Shilpasathi portal](https://silpasathi.wb.gov.in/) and click on ‘Apply online’ button.
**Step 2:** A sign up window will appear. Click on ‘Create New’ for new user.
**Step 3:** Select the Industry /Business /Commercial /Charitable Society/ Govt. entity and enter the concerned Registration number.
**Step 4:** Then the ‘User Registration’ window will appear with the relevant fields that the applicant needs to fill accurately and click on ‘Register’. In case the applicant already has an account, click on the ‘Sign In’ button and login using valid User ID, password and Captcha code.
&gt; **Application Process:**

**Step 1:** Visit the official [Shilpasathi portal](https://silpasathi.wb.gov.in/) and click on ‘Apply online’ button.
**Step 2:** Enter your user name, password and captcha code then click on “Log In”. Or sign in with the registered mobile number and OTP. 
**Step 3:** Applicants will be directed to the user dashboard. Click on ‘ALL SERVICES’ to get the desired service. 
**Step 4:** A list of services will appear. Applicants need to click on the check box adjacent to the service named ‘Tourism Incentive’.
**Step 5:** Once done, click on ‘Create CAF’. Applicant’s CAF ID will be created. Click on ‘Apply Online’ to proceed with the application.
**Step 6:** Applicant will be redirected to the common application form where he has to fill in the necessary details mentioned for proceeding further with the application.
**Step 7:** Once done, the applicant needs to attach the relevant documents required for the issuance of the certificate and click on ‘Save &amp;amp; Continue’.
**Step 8:** Once uploaded, a ‘Document successfully uploaded’ header message will appear for confirmation. Applicants will be shown the filled application with details provided for final review.
**Step 9:** Once reviewed, the applicant needs to click on the Declaration checkbox on the bottom left of the application page before proceeding to the ‘Submit’ button.
**Step 10:** The applicant will receive notifications through SMS and email at critical stages of application processing–application submission, application approval or rejection at various stages.
**Step 11:** Once done, the applicant will be auto redirected to the ‘Check status’ page to view the current status of the application.
**Step 12:** Once all the steps are successfully completed , after Approval by the authority the applicant will receive in the online system the Registration certificate approved by the Department by clicking on the ‘Download Certificate’ button.
&gt; **Note:**

The steps for getting the incentives are Issue of Registration Certificate, Issue of Date of Commencement Certificate and issue of Eligibility Certificate before granting incentives in each case.
After getting both the Registration and Date of Commercial Operation Certificate, the Tourism unit applies to the Managing Director, West Bengal Tourism Development Corporation for Eligibility Certificate.
After getting all the above mentioned three certificates the eligible units apply to The Managing Director, West Bengal Tourism Development Corporation for Different types of incentives (see sl. 1) through different online forms.
&gt; **Helpdesk:**

Protiti, 23, Abanindranath Tagore Sarani (Camac Street), Kolkata - 700017, West Bengal, India.
Phone: +91 33 2255 3700 
Fax: +91 33 2255 3737 
Email: silpa.sathi@wbidc.com
For any technical query or any critical issues faced while submitting application please mail to our Quick Response Team at: qrt.silpasathiwb@gmail.com
Silpa Sathi Single Window Cell - Helpline Number (Toll free): 1800-345-5562
","Electricity Duty, Entrepreneurship, Incentives, MSME, Reimbursement, Subsidy, Tourism, Tourism Units, Waiver"
Marriage Grant for the Marriage of the Daughter of War Disabled Ex-Servicemen above 50% Disability,Sainik and Ardh Sainik Welfare Department,Individual,"
   1. The applicant should be a bonafide resident of Haryana.
   1. The applicant should be a war-disabled ex-serviceman with a disability assessed above 50%.
   1. The daughter should be at least 18 years old.
   1. The applicant can receive the benefit for up to two daughters only.

","Under this scheme, financial assistance of ₹21,000/- is provided for the marriage of each dependent daughter of war-disabled ex-servicemen whose disability has been assessed above 50%, for up to two daughters who are at least 18 years old.
Financial assistance of ₹21,000/- is given for the marriage of each dependent daughter of war-disabled ex-servicemen whose disability has been assessed as over 50%.
","&gt; **Registration Process on Antyodaya-SARAL Portal:**

**Step 1:** The eligible applicant may apply online through the Official Portal- [Antyodaya-SARAL Portal](https://saralharyana.gov.in/). 
**Step 2:** If the applicant is not registered on the portal, he/she gets registered there. 
**Step 3:** For registration, click “[New User](https://saralharyana.gov.in/citizenRegistration.html)” under ‘Sign In Here’ and fill in all the mandatory details i.e. Name, Email ID, Mobile Number, Password &amp;amp; State. Click on ‘Submit’.
Step 4: Verify your mobile number and email ID through the received OTP and complete the registration process.
&gt; **Login to apply for the scheme:**

**Step 1:** To avail the benefits of the scheme, visit the Official [Antyodaya-SARAL Portal](https://saralharyana.gov.in/) and log in through the email ID used while registering.
**Step 2:** Enter Password &amp;amp; Captcha and click on ‘Login’.
Step 3: After successful login, click on ‘Apply for Services’ and then ‘View all Available Services’.
**Step 4:** Now, you can search for the scheme and download the pre-defined documents form/template and you will need to upload the filled-in/signed form/template in the &amp;#39;Attach Enclosures&amp;#39; screen.
**Step 5:** Click on ‘Proceed to Apply’ to fill out the application form. Enter your Parivar Pehchan Patra number- Family ID and click on “Click here to Fetch Family Data” which displays the family members registered under the given Family ID.
**Step 6:** Select the beneficiary/applicant name and enter the OTP that is being sent to the selected family member for verification. Click on “Click to Verify”
**Step 7:** Fill in all the mandatory details and upload all the mandatory documents.
**Step 8:** Preview the application form and click on ‘Submit’.
&gt; **Tracking of Application:**

Applicants can track their applications through the Official [Antyodaya-SARAL Portal](https://status.saralharyana.nic.in/) by entering their Department Name, Scheme Name, and Application Reference ID. 
","Daughter, Disability, Ex-Serviceman, Marriage, PwD, War Disabled"
Financial Assistance to Para/Tetra/Hemi Plegic Ex-Servicemen,Sainik and Ardh Sainik Welfare Department,Individual,"
   1. The applicant should be a bonafide resident of Haryana.
   1. The applicant should be an Ex-Serviceman with paraplegia, tetraplegia, or hemiplegia.
   1. In the case of Paraplegic, Tetraplegic, and Hemiplegic ex-servicemen of Haryana State financial assistance will be admissible to only those who are not fit to resettle in civil life on account of total incapacitation (100% disabled) and are penury.
   1. In the case of a Hemiplegic Ex-Serviceman of Haryana State financial assistance will be admissible to only those who after 6 months of the attack of the deceased, do not recover and who are also declared 100% disabled on account of Hemiplegic disease by the Medical authorities even after 6 months of the attack of the disease.
   1. The financial assistance will not be admissible to those paraplegia, tetraplegia, or hemiplegia ex-servicemen who are admitted in paraplegic homes run by the Government of India or the State Government and are covered by grants to paraplegic homes.
   1. The applicant should not be in receipt of any kind of financial assistance from any department of the Haryana Government.

**Note 1:** The financial assistance is admissible to eligible paraplegia, tetraplegia, or hemiplegia ex-servicemen in addition to any disability pension from Govt. of India, Ministry of Defence.
**Note 2:** The old beneficiaries whose cases for grant of financial assistance have already been sanctioned prior to the issue of the guidelines shall continue to get the financial assistance at enhanced rates and they need not apply afresh. However, payment shall be discontinued with immediate effect who fail to submit their survival verification proofs every year from the revenue authorities.
**Note 3:** Payment of financial assistance to those beneficiaries shall also be stopped immediately who fail to submit their survival verification proofs every year from the revenue authorities in the month of April. 
**Note 4:** Every applicant shall have to produce a certificate issued by the concerned District Social Welfare Officer to the effect that the applicant is not getting any financial assistance/ Pension from the Social Justice &amp;amp; Empowerment Department of Haryana.
**Note 5:** If any beneficiary, after the sanction of the financial assistance under this scheme, is found drawing any type of financial assistance from any other Department of Haryana Government. He/she shall be permanently debarred from getting financial assistance under all schemes.
","Under the scheme, financial assistance of ₹3,000/- per month shall be granted to Paraplegic, Tetraplegic, and Hemiplegic Ex-Servicemen who are bonafide residents of Haryana State and are not in receipt of any kind of financial assistance from any department of the Haryana Government. 

   1. Under the scheme, financial assistance of ₹3,000/- per month is given to Para/Tetra/Hemi Plegic Ex-Serviceman, with an annual increase of ₹400/- w.e.f. 01.11.2017 every year in November.

**Note:** Subject to the condition that application/claim case is found in order financial assistance to the Paraplegic, Tetraplegic, or Hemiplegic Ex-Serviceman will be sanctioned with effect from the first day of the following month in which case is sanctioned by the competent sanctioning authority.
","**Registration Process on Antyodaya-SARAL Portal:**
**Step 1:** The eligible applicant may apply online through the Official Portal- [Antyodaya-SARAL Portal](https://saralharyana.gov.in/). 
**Step 2:** If the applicant is not registered on the portal, he/she gets registered there. 
**Step 3:** For registration, click “[New User](https://saralharyana.gov.in/citizenRegistration.html)” under ‘Sign In Here’ and fill in all the mandatory details i.e. Name, Email ID, Mobile Number, Password &amp;amp; State. Click on ‘Submit’.
**Step 4:** Verify your mobile number and email ID through the received OTP and complete the registration process.
**Login to apply for the scheme:**
**Step 1:** To avail the benefits of the scheme, visit the Official [Antyodaya-SARAL Portal](https://saralharyana.gov.in/) and log in through the email ID used while registering.
**Step 2:** Enter Password &amp;amp; Captcha and click on ‘Login’.
**Step 3:** After successful login, click on ‘Apply for Services’ and then ‘View all Available Services’.
**Step 4:** Now, you can search for the scheme and download the pre-defined documents form/template and you will need to upload the filled-in/signed form/template in the &amp;#39;Attach Enclosures&amp;#39; screen.
**Step 5:** Click on ‘Proceed to Apply’ to fill out the application form. Enter your Parivar Pehchan Patra number- Family ID and click on “Click here to Fetch Family Data” which displays the family members registered under the given Family ID.
**Step 6:** Select the beneficiary/applicant name and enter the OTP that is being sent to the selected family member for verification. Click on “Click to Verify”
**Step 7:** Fill in all the mandatory details and upload all the mandatory documents.
**Step 8:** Preview the application form and click on ‘Submit’.
**Tracking of Application:**
Applicants can track their applications through the Official [Antyodaya-SARAL Portal](https://status.saralharyana.nic.in/) by entering their Department Name, Scheme Name, and Application Reference ID. 
**Note:** All the applications received by the Zila Sainik Boards will be scrutinized at the level of Zila Sainik Boards itself and the applications found fit for grant of F.A. will be forwarded with all relevant documents to Rajya Sainik Board with clear recommendation of Secretary, Zila Sainik Board. 
","Ex-Serviceman, Financial Assistance, Hemi Plegic, Para Plegic, Tetra Plegic"
Aswachh Dhandha Chhaatravrtti,Tribal Welfare and Scheduled Caste (SC) Department,Individual,"
   1. The applicant should belong to the Scheduled Caste or other deprived categories of society.
   1. One or both parents of the applicant should be engaged in unclean/unhygienic occupations (Scavenger/Flayers/Tanner). Students whose parents left these occupations after 1997 are also eligible for the scheme.
   1. The applicant should be a student.
   1. The applicant should be studying in Class 1st to Class 10th.
   1. Only two children from one family are eligible.
   1. The applicant should be a native/resident of Madhya Pradesh.
   1. The applicant is not eligible for any other state scholarship.

","The objective of the scheme is to motivate students from marginalized sections of society, whose parents are involved in unclean & hazardous occupations, to pursue their education. Under the scheme, financial assistance of ₹1,850/- per annum is provided to students from Class 1 to Class 10.

   1. Under this scheme, regular students studying in Class 1st to Class 10th are given a scholarship of ₹1,850/- per annum.

","&gt; **Registration Process:**

**Step 1:** Go to the official website of the &amp;quot;[Madhya Pradesh Shiksha Portal](https://shikshaportal.mp.gov.in/Default.aspx)&amp;quot; using a web browser.
**Step 2:** Click on &amp;#39;[eKYC&amp;#39;](https://shikshaportal.mp.gov.in/Public/EKYC/VerifyMobileBeforeKYC.aspx).
**Step 3:** Enter your mobile number and captcha, then click on &amp;quot;Get OTP.&amp;quot;
**Step 4:** Enter the OTP and go to the next page.
**Step 5:** Enter your Samagra ID and captcha code, then click OK.
**Step 6:** The student&amp;#39;s basic information will be displayed, such as the names of the father and mother, date of birth, school, etc.
**Step 7:** Click on Aadhar eKYC, enter your Aadhar number, and click to get OTP.
**Step 8:** Enter the OTP and click &amp;#39;Submit&amp;#39;.
**Step 9:** Read all the information carefully before proceeding, then click on &amp;#39;Submit&amp;#39;.
&gt; **Process to apply for scheme benefits:**

**Step 1:** Go to the official website of the &amp;quot;[Madhya Pradesh Shiksha Portal](https://shikshaportal.mp.gov.in/Default.aspx)&amp;quot; using a web browser.
**Step 2:** Click on &amp;#39;[login](https://shikshaportal.mp.gov.in/login/Public/sLogin.aspx)&amp;#39;.
**Step 3:** Enter the User name, Password, Captcha, and click &amp;#39;login&amp;#39;.
**Step 4:** Click on &amp;#39;Login&amp;#39; and select your scheme name.
**Step 5:** After clicking your scheme name then enter your name, father&amp;#39;s name, Samagra ID, Aadhar number, bank account, etc.
Step 6: Now upload your photo signature and important documents.
**Step 7:** Remember, the fields marked with an asterisk (*) are mandatory.
**Step 8:** After filling in all your information details and uploading the documents click &amp;#39;submit&amp;#39;.
","Deprived Categories, Scavenger, Scheduled Caste, Scholarship, Student, Unclean Occupation, Unclean Occupation"
Marriage Grant to War Widows’ Daughters of Ex-Servicemen,Sainik and Ardh Sainik Welfare Department,Individual,"
- The applicant should be a bonafide resident of Haryana.
- The applicant should be the widow of an ex-serviceman who died in the war.
- The daughter should be at least 18 years old.
- The widow can receive the benefit for up to two of her daughters.

","The scheme is implemented by the Sainik and Ardh Sainik Welfare Department, Government of Haryana. Under this scheme, financial assistance of ₹21,000/- is provided to the war widows for marriage of their dependent daughters, for up to two daughters who are at least 18 years old.
Financial assistance of ₹21,000/- is given to the war widows for the marriage of their dependent daughters.
","&gt; **Registration Process on Antyodaya-SARAL Portal:**

**Step 1:** The eligible applicant may apply online through the Official Portal- [Antyodaya-SARAL Portal](https://saralharyana.gov.in/).
**Step 2:** If the applicant is not registered on the portal, he/she gets registered there. 
**Step 3:** For registration, click “[New User](https://saralharyana.gov.in/citizenRegistration.html)” under ‘Sign In Here’ and fill in all the mandatory details i.e. Name, Email ID, Mobile Number, Password &amp;amp; State. Click on ‘Submit’.
**Step 4:** Verify your mobile number and email ID through the received OTP and complete the registration process.
&gt; **Login to apply for the scheme:**

**Step 1:** To avail the benefits of the scheme, visit the Official [Antyodaya-SARAL Portal](https://saralharyana.gov.in/) and log in through the email ID used while registering.
**Step 2:** Enter Password &amp;amp; Captcha and click on ‘Login’.
**Step 3:** After successful login, click on ‘Apply for Services’ and then ‘View all Available Services’.
**Step 4:** Now, you can search for the scheme and download the pre-defined documents form/template and you will need to upload the filled-in/signed form/template in the &amp;#39;Attach Enclosures&amp;#39; screen.
**Step 5:** Click on ‘Proceed to Apply’ to fill out the application form. Enter your Parivar Pehchan Patra number- Family ID and click on “Click here to Fetch Family Data” which displays the family members registered under the given Family ID.
**Step 6:** Select the beneficiary/applicant name and enter the OTP that is being sent to the selected family member for verification. Click on “Click to Verify”
**Step 7:** Fill in all the mandatory details and upload all the mandatory documents.
**Step 8:** Preview the application form and click on ‘Submit’.
&gt; **Tracking of Application:**

Applicants can track their applications through the Official [Antyodaya-SARAL Portal](https://status.saralharyana.nic.in/) by entering their Department Name, Scheme Name, and Application Reference ID. 
","Daughter, Ex-Serviceman, Financial Assistance, Marriage, War, Widow"
Bharati Scheme for Education - Post-Graduation,Andhra Pradesh Brahmin Welfare Corporation,Individual,"
1. The student and his/her parents should belong to the Brahmin community.  
1. The parents should be studying in Andhra Pradesh.
1. The annual family income of parents/guardians should not exceed ₹3,00,000/-.
1. The student should be studying in any recognized and reputed college for the academic year. 
1. The student should have cleared all the subjects of the previous year. 
1. The student should be enrolled in the Praja Sadhikara Survey (PSS). 
1. The student should not have availed himself/ herself of any amount under any other government scheme for the same purpose.  However, students availing benefit from Archaka Welfare Trust are eligible under this scheme. 

","The ""Bharati Scheme for Education - Post-Graduation (Any course of 2 Years or more duration, after Graduation (10+2+3) will be considered under this category, i.e., M.Sc, M.Com, M.A., M.Tech, M.D., M.Pharm, MBA, etc.)"" encourages Brahmin students of Andhra Pradesh to continue their education.

- **Financial Assistance for the Post-Graduation: ₹10,000/-.** 

","> **Registration**

**Step-01:** Applicants have to visit the [official website](https://www.andhrabrahmin.ap.gov.in/) and click on [Scheme](https://www.andhrabrahmin.ap.gov.in/schemes/schemes.aspx#).
**Step-02:** Click on &quot;Registration&quot; under the concerned scheme name.
**Step-03:** Fill out the application form with required details like:


  - Personal Details: Name, Residence address, Aadhaar no, Ration card no, Bank detail etc
  - Upload: Photo, Signature and Certificate Details 
  - Documents: Birth Certificate, Residential Certificate, Aadhaar Card, Caste Certificate, Bank Passbook etc
  - Finalize and &quot;Submit&quot; the application.


**Step-04:** Receive the reference number after the submission.
<br>

> **Check Application Status:**

**Step-01:** Click on the “Services” link on the menu and select &quot;[Know your status](https://www.andhrabrahmin.ap.gov.in/eSchemes/know_stat.aspx)&quot;.
**Step-02:** Enter the Reference or Mobile or Aadhaar Card Number to get the application status.
**Step-03:** Select the &quot;Financial Year&quot; and Fetch the details. 
<br>

> **Download the Acknowledgement slip:**

**Step-01:** Applicants have to visit the [official website](https://www.andhrabrahmin.ap.gov.in/) and click on [Scheme](https://www.andhrabrahmin.ap.gov.in/schemes/schemes.aspx#).
**Step-02:** Click on the &quot;Acknowledgement Slip&quot; under the concerned scheme.
**Step-03:** Enter the Aadhaar Card Number and select the &quot;Scheme&quot;.
**Step-04:** Click on the &quot;Submit&quot;.
","Brahmin Community, Financial Assistance, Post-Graduation, Student"
Bharati Scheme for Education - Graduation,Andhra Pradesh Brahmin Welfare Corporation,Individual,"
1. The student and his/her parents should belong to the Brahmin community.  
1. The student should be studying in any recognized and reputed college in Andhra Pradesh for the academic year. 
1. The student&#39;s parents should be staying in Andhra Pradesh.
1. The annual family income of parents/guardians should not exceed ₹3,00,000/-.
1. The student should have cleared all the subjects of the previous year.
1. The student should be enrolled in the Praja Sadhikara Survey (PSS). 
1. The student should not have availed himself/ herself of any amount under any other government scheme for the same purpose.  However, students availing benefit from Archaka Welfare Trust are eligible under this scheme. 

","The ""Bharati Scheme for Education - Graduation (Any regular course of 3 years duration after 10+2 will be considered under this category. i.e., B.A., B.Com, B.Sc., etc., including B.Ed.)"" provides financial assistance to encourage Brahmin students of Andhra Pradesh to continue their education. 

- **Financial Assistance for the graduation student: ₹15,000/-.** 

","> **Registration**

**Step-01:** Applicants have to visit the [official website](https://www.andhrabrahmin.ap.gov.in/) and click on [Scheme](https://www.andhrabrahmin.ap.gov.in/schemes/schemes.aspx#).
**Step-02:** Click on &quot;Registration&quot; under the concerned scheme name.
**Step-03:** Fill out the application form with required details like:


  - Personal Details: Name, Residence address, Aadhaar no, Ration card no, Bank detail etc
  - Upload: Photo, Signature and Certificate Details 
  - Documents: Birth Certificate, Residential Certificate, Aadhaar Card, Caste Certificate, Bank Passbook etc
  - Finalize and &quot;Submit&quot; the application.


**Step-04:** Receive the reference number after the submission.
<br>

> **Check Application Status:**

**Step-01:** Click on the “Services” link on the menu and select &quot;[Know your status](https://www.andhrabrahmin.ap.gov.in/eSchemes/know_stat.aspx)&quot;.
**Step-02:** Enter the Reference or Mobile or Aadhaar Card Number to get the application status.
**Step-03:** Select the &quot;Financial Year&quot; and Fetch the details. 
<br>

> **Download the Acknowledgement slip:**

**Step-01:** Applicants have to visit the [official website](https://www.andhrabrahmin.ap.gov.in/) and click on [Scheme](https://www.andhrabrahmin.ap.gov.in/schemes/schemes.aspx#).
**Step-02:** Click on the &quot;Acknowledgement Slip&quot; under the concerned scheme.
**Step-03:** Enter the Aadhaar Card Number and select the &quot;Scheme&quot;.
**Step-04:** Click on the &quot;Submit&quot;.
","Brahmin, Financial Assistance, Graduation, Student"
Scholarship for Fatherless Girls,School Education Department,Individual,"
   1. The applicant should be a girl student.
   1. The girl student should be a permanent resident of Madhya Pradesh.
   1. The girl student should be studying in Class 1 to 12.
   1. The girl student should be studying at a government school in Madhya Pradesh.
   1. The girl student who has lost her father is eligible for benefits under this scheme.
   1. The girl student should not be a beneficiary of any other scholarship.
   1. The girl student should have passed the previous class.

","The objective of this scheme is to support the education of girls who have lost their fathers and are studying in government schools. Under this scheme, scholarships ranging from ₹350/- to ₹450/- are provided to eligible girls from Class 1 to Class 12.
Under this scheme, the scholarships will be given at the following rates:-

  - **Class 1 to 5:**    ₹350/- per year  - **Class 6 to 8:**    ₹400/- per year  - **Class 9 to 12:**  ₹450/- per year 
**Note:** The scholarship will be deposited directly into the student&amp;#39;s bank account.
","
  - To avail of the benefits under this scheme, eligible girl students can contact the Principal of their respective government schools/institutions.

**Note:** The student&amp;#39;s profile is entered on the education portal [https://shikshaportal.mp.gov.in/](https://shikshaportal.mp.gov.in/) by the teacher of the educational institution as per the record/certificate provided by the student.
","Fatherless, Girl Student, Orphan, Scholarship"
State Government SC Scholarship (Class 1 to 10),School Education Department,Individual,"
   1. The applicant should be a student.
   1. The student should be a permanent resident of Madhya Pradesh.
   1. The student should belong to the Scheduled Caste category.
   1. Girl students from Class 1 to 5 and all students (both boys and girls) from Class 6 to 10 are eligible for the benefits under the scheme.
   1. There is no restriction on the annual family income of the students.

**Note 1:** One-time failure in a class is allowed.
**Note 2:** There is no need to reapply for renewal within the same level (Class 1 to 10).
","The scheme was launched by School Education Department, Govt. of Madhya Pradesh, aims to improve educational status of SC students by providing scholarships. Under this scheme, scholarships are provided to SC girl students in Classes 1 to 5,and to both boys & girls in SC category in Classes 6 to 10.
Under this scheme, scholarships for Scheduled Caste students are provided at the following rates:

  - **Class 1 to 5:** ₹250/- per year (for girls only)  - **Class 6 to 8:** ₹200/- per year (for boys) and ₹600/- per year (for girls)  - **Class 9 to 10:** ₹600/- per year (for boys) and ₹1,200/- per year (for girls)
**Note:** The scholarship will be deposited directly into the student&amp;#39;s bank account.
","
  - To avail of the benefits under this scheme, eligible students can contact the Principal of their respective schools/institutions.

**Note:** The profile of the students is entered on the education portal [https://shikshaportal.mp.gov.in/](https://shikshaportal.mp.gov.in/) by the teacher of the educational institution as per the record/certificate provided by the student.
","Girl Student, Scheduled Caste, Scholarship, Student"
Integrated Social Security Scheme: Pension to Physically Challenged Persons,Social and Tribal Welfare Department,Individual,"
   1. The applicant should be a permanent resident of the Union Territory of Ladakh.
   1. The applicant should be a physically challenged person with a disability of 40% or more (including Blind, Deaf, Dumb).
   1. The applicant should belong to the Below Poverty Line (BPL) category.
   1. The applicant&amp;#39;s age should be between 18 and 79 years.
   1. The applicant should have no source of income.

","Under this scheme, a monthly pension of ₹1,000/- is provided to poor physically handicapped persons (including those who are blind, deaf, or dumb) with a degree of disability 40% or above and having no source of income.
**Amount of pension:**  ₹1,000/- per month per beneficiary 
","&gt; **Registration Process:**

**Step 1:** Visit the ‘[Ladakh E-Seva Platform](https://eseva.ladakh.gov.in/ladakheservices)’ and navigate to the “Go Live Services” tab on the right side of the screen. Select the ISSS scheme under the &amp;#39;Social Welfare&amp;#39; section.
**Step 2:** Click on the &amp;#39;[Registration](https://eseva.ladakh.gov.in/cznregistration)&amp;#39; tab in the right corner of the screen. 
**Step 3:** Read the instructions carefully and fill in all the required information accurately. Upload the Passport-size scan photo (jpg image) in a clear background of size less than 50 kB. 
**Step 4:** Note the User ID and Password after successful registration for future reference.
&gt; **Login to apply for scheme benefits:**

**Step 1:** To apply under the scheme, visit the ‘[Ladakh E-Seva Platform](https://eseva.ladakh.gov.in/ladakheservices)’ again and navigate to the “Go Live Services” tab on the right side of the screen. Select the ISSS scheme under the &amp;#39;Social Welfare&amp;#39; section.
**Step 2:** Enter your [login](https://eseva.ladakh.gov.in/indexpage) credentials (Login ID and Password generated after registration), select &amp;quot;User Role&amp;quot; as &amp;quot;Citizen,&amp;quot; enter the Captcha, and click on &amp;quot;Submit&amp;quot;. 
**Step 3:** After Login, the applicant has to click on the “E-services” tab in the left menu.
**Step 4:** Click on the “Department of Social &amp;amp; Tribal Welfare” and select the scheme ‘Pension to Physically Challenged Persons’ under “Integrated Social Security Scheme”.
**Step 5:** Fill in the required details accurately and upload the mandatory documents then click on Submit to complete the application process.
","BPL, Disability, ISSS, Pension, PwD"
General Poor Class Scholarship (Class 6 to 8),School Education Department,Individual,"
   1. The applicant should be a permanent resident of Madhya Pradesh.
   1. The applicant should be studying in Class 6 to 8.
   1. The student should be studying at a government school.
   1. The student should belong to the Below Poverty Line (BPL) category.
   1. The student&amp;#39;s parents&amp;#39; total income from all sources should be less than ₹1,00,000/- per year.
   1. The student should have passed the previous class.

","Under this scheme, scholarships are provided to students studying in Classes 6 to 8 in government schools. Students whose annual family income is less than ₹1,00,000/- and who belong to the Below Poverty Line (BPL) category are eligible for the benefits.

  - Girl students will receive a scholarship of ₹300/- per year.
  - Boy students will receive a scholarship of ₹200/- per year.

**Note:** The scholarship amount is directly transferred to the student&amp;#39;s bank account.
","
  - To avail of the benefits under this scheme, eligible students can contact the Principal of their respective government schools/institutions.

**Note:** The profile of the students is entered on the education portal [https://shikshaportal.mp.gov.in/](https://shikshaportal.mp.gov.in/) by the teacher of the educational institution as per the record/certificate provided by the student.
","BPL, Government School, Scholarship, Student"
Biju Patnaik Sports Award for Best Contribution to promotion of Sports and Games,Sports and Youth Services Department,"Individual, NGO, Registered Societies","
  - **Both individuals/organizations will be eligible for this award.**

&gt; **Individual applicant:**


   1. The applicant should be a permanent resident of the State of Odisha or shall be staying at least for a period not less than 07 years.
   1. The minimum age of the applicant should be 45 years as of 1st January of the year of the Award and must have substantially contributed in various ways such as Sports Administration and sports Support Staff (other than Coaches).
   1. The applicant should not have been convicted of any criminal offence.
   1. The award will be conferred on a person only once in his/her lifetime, pertaining to the concerned category.
   1. The award can be given posthumously to the next of kin of the selected sportsperson.

&gt; **Applicant Organization:** 


  - The organization must have substantially contributed by recruiting sportspersons, providing financial support to sportspersons for advanced coaching &amp;amp; International participation, and sponsorship support for the organization of National and international sporting events.

&gt; **Annulment Cancellation of Award:**


  - The Award may be cancelled in case it is found that it has been obtained by fraudulent means.
  - In such event, the concerned person shall be asked to refund the award failing which steps will be taken to recover the involved cost from him/her with simple interest @ 5% per annum.

","The award is given the individuals who have substantially contributed in various ways such as Sports Administration & sports Support Staff (other than Coaches) and also to organizations that have substantially contributed by recruiting sportspersons, providing financial support to sportspersons etc.

   1. The award shall be presented every year subject to the availability of a suitable candidate, which will carry a cash award of ₹1,00,000/-.
   1. A statue, a scroll of honor, and a blazer with a tie shall be given along with all the Cash Awards.
   1. The Awardees shall be invited to receive the awards in person. They shall be given T.A. and D.A. at the rate admissible to a Grade &amp;#39;A&amp;#39; Officer.

**Note:**

   1. Canvassing for the award in any form is prohibited.
   1. The award can also be given posthumously to the next of kin of the awardee (In the case of the applicant).
   1. In case of selection of more than one person/organization for an award, the award money will be shared amongst the awardees.
   1. It will not be binding on the Department of Sports &amp;amp; Youth Services to confer the award every year. In case of non-availability of suitable persons/organizations for the award, the award shall not be given for the respective year.

","
   1. Visit the official [**website**](https://sports.odisha.gov.in/) of the department and click on the &amp;quot;**Biju Patnaik Sports Award**&amp;quot; tab under the Sports Service category.   1. On clicking, sign in [**web page**](https://portal.sportsodisha.gov.in/SportAward/login) for the applicant will open.    1. Click on &amp;quot;[**New Applicant**](https://portal.sportsodisha.gov.in/SportAward/Applyform)&amp;quot; for registration of new applicant on the portal.   1. Once clicked, application form will open. Fill all the details and submit.
   1. After registration, enter registration number on the sign in [**web page**](https://portal.sportsodisha.gov.in/SportAward/login) to apply for a scheme.    1. Once application form is filled the Hard copy of the applications may be sent along with supporting documents to Director Sports, Sports and Youth Services Department, Kalinga Stadium Sports Complex Bhubaneswar, 751012. 
   1. If the applicant is unable to upload any document or unable to fill details, he/she can send hard copies of applications along with necessary documents by Registered post/speed post/courier to the Director Sports, Sports and Youth Services Department, Govt of Odisha, Kalinga Stadium Sports Complex, Bhubaneswar,751012.

For latest updates about the scheme, the applicant may visit [**https://sports.odisha.gov.in/**](https://sports.odisha.gov.in/)
","Award, Promotion Of Games, Promotion Of Sports"
